sample	unit	fq1	fq2	parhap	mother	inducer
MM1161	KFRAG_01341	KFRAG_01341.fq.gz	NaN	haploid	LR00_014	IVP35
MM1161	KFRAG_01341_b	KFRAG_01341_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1161	KFRAG_01341_c	KFRAG_01341_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1162	KFRAG_01342	KFRAG_01342.fq.gz	NaN	haploid	LR00_014	IVP35
MM1162	KFRAG_01342_b	KFRAG_01342_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1162	KFRAG_01342_c	KFRAG_01342_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1163	KFRAG_01343	KFRAG_01343.fq.gz	NaN	haploid	LR00_014	IVP35
MM1163	KFRAG_01343_b	KFRAG_01343_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1163	KFRAG_01343_c	KFRAG_01343_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1164	KFRAG_01344	KFRAG_01344.fq.gz	NaN	haploid	LR00_014	IVP35
MM1164	KFRAG_01344_b	KFRAG_01344_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1164	KFRAG_01344_c	KFRAG_01344_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1165	KFRAG_01345	KFRAG_01345.fq.gz	NaN	haploid	LR00_014	IVP35
MM1165	KFRAG_01345_b	KFRAG_01345_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1165	KFRAG_01345_c	KFRAG_01345_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1166	KFRAG_01346	KFRAG_01346.fq.gz	NaN	haploid	LR00_022	IVP35
MM1166	KFRAG_01346_b	KFRAG_01346_b.fq.gz	NaN	haploid	LR00_022	IVP35
MM1166	KFRAG_01346_c	KFRAG_01346_c.fq.gz	NaN	haploid	LR00_022	IVP35
MM1167	KFRAG_01347	KFRAG_01347.fq.gz	NaN	haploid	LR00_022	IVP35
MM1167	KFRAG_01347_b	KFRAG_01347_b.fq.gz	NaN	haploid	LR00_022	IVP35
MM1167	KFRAG_01347_c	KFRAG_01347_c.fq.gz	NaN	haploid	LR00_022	IVP35
MM1168	KFRAG_01348	KFRAG_01348.fq.gz	NaN	haploid	LR00_026	IVP35
MM1168	KFRAG_01348_b	KFRAG_01348_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1168	KFRAG_01348_c	KFRAG_01348_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1169	KFRAG_01349	KFRAG_01349.fq.gz	NaN	haploid	LR00_026	IVP35
MM1169	KFRAG_01349_b	KFRAG_01349_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1169	KFRAG_01349_c	KFRAG_01349_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1170	KFRAG_01350	KFRAG_01350.fq.gz	NaN	haploid	LR00_026	IVP35
MM1170	KFRAG_01350_b	KFRAG_01350_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1170	KFRAG_01350_c	KFRAG_01350_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1171	KFRAG_01351	KFRAG_01351.fq.gz	NaN	haploid	LR00_026	IVP35
MM1171	KFRAG_01351_b	KFRAG_01351_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1171	KFRAG_01351_c	KFRAG_01351_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1172	KFRAG_01352	KFRAG_01352.fq.gz	NaN	haploid	LR00_026	IVP35
MM1172	KFRAG_01352_b	KFRAG_01352_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1172	KFRAG_01352_c	KFRAG_01352_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1173	KFRAG_01353	KFRAG_01353.fq.gz	NaN	haploid	LR00_026	IVP35
MM1173	KFRAG_01353_b	KFRAG_01353_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1173	KFRAG_01353_c	KFRAG_01353_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1174	KFRAG_01354	KFRAG_01354.fq.gz	NaN	haploid	LR00_026	IVP35
MM1174	KFRAG_01354_b	KFRAG_01354_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1174	KFRAG_01354_c	KFRAG_01354_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1175	KFRAG_01355	KFRAG_01355.fq.gz	NaN	haploid	LR00_026	IVP35
MM1175	KFRAG_01355_b	KFRAG_01355_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1175	KFRAG_01355_c	KFRAG_01355_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1176	KFRAG_01356	KFRAG_01356.fq.gz	NaN	haploid	LR00_026	IVP35
MM1176	KFRAG_01356_b	KFRAG_01356_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1176	KFRAG_01356_c	KFRAG_01356_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1177	KFRAG_01357	KFRAG_01357.fq.gz	NaN	haploid	C91_640	IVP35
MM1177	KFRAG_01357_b	KFRAG_01357_b.fq.gz	NaN	haploid	C91_640	IVP35
MM1177	KFRAG_01357_c	KFRAG_01357_c.fq.gz	NaN	haploid	C91_640	IVP35
MM1178	KFRAG_01358	KFRAG_01358.fq.gz	NaN	haploid	Y84_027	IVP35
MM1178	KFRAG_01358_b	KFRAG_01358_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1178	KFRAG_01358_c	KFRAG_01358_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1179	KFRAG_01359	KFRAG_01359.fq.gz	NaN	haploid	Y84_027	IVP35
MM1179	KFRAG_01359_b	KFRAG_01359_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1179	KFRAG_01359_c	KFRAG_01359_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1180	KFRAG_01360	KFRAG_01360.fq.gz	NaN	haploid	Y84_027	IVP35
MM1180	KFRAG_01360_b	KFRAG_01360_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1180	KFRAG_01360_c	KFRAG_01360_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1181	KFRAG_01361	KFRAG_01361.fq.gz	NaN	haploid	Y84_027	IVP35
MM1181	KFRAG_01361_b	KFRAG_01361_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1181	KFRAG_01361_c	KFRAG_01361_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1182	KFRAG_01362	KFRAG_01362.fq.gz	NaN	haploid	Y84_027	IVP35
MM1182	KFRAG_01362_b	KFRAG_01362_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1182	KFRAG_01362_c	KFRAG_01362_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1183	KFRAG_01363	KFRAG_01363.fq.gz	NaN	haploid	Y84_027	IVP35
MM1183	KFRAG_01363_b	KFRAG_01363_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1183	KFRAG_01363_c	KFRAG_01363_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1184	KFRAG_01364	KFRAG_01364.fq.gz	NaN	haploid	Y84_027	IVP35
MM1184	KFRAG_01364_b	KFRAG_01364_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1184	KFRAG_01364_c	KFRAG_01364_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1185	KFRAG_01365	KFRAG_01365.fq.gz	NaN	haploid	Y84_027	IVP35
MM1185	KFRAG_01365_b	KFRAG_01365_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1185	KFRAG_01365_c	KFRAG_01365_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1186	KFRAG_01366	KFRAG_01366.fq.gz	NaN	haploid	Y84_027	IVP35
MM1186	KFRAG_01366_b	KFRAG_01366_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1186	KFRAG_01366_c	KFRAG_01366_c.fq.gz	NaN	haploid	Y84_027	IVP35
MM1187	KFRAG_01367	KFRAG_01367.fq.gz	NaN	haploid	Y84_027	IVP35
MM1187	KFRAG_01367_b	KFRAG_01367_b.fq.gz	NaN	haploid	Y84_027	IVP35
MM1187	KFRAG_01367_c	KFRAG_01367_c.fq.gz	NaN	haploid	Y84_027	IVP35
